Var.1,Planning Area,Total,0 - 4,5-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,85_and_over,PLN_AREA_N,65_AND_OVER,ELDERLY_DENSITY,POP_DATE
1,Total,3789250,188250,208120,240540,260740,255070,262610,297560,316160,306610,323990,308130,260680,208160,112400,100070,66910,42150,31120,31120,TOTAL,352650,0.09306591,2011
2,Ang Mo Kio,178760,7650,8210,9280,10220,10600,12540,14340,14390,13420,14740,14430,13970,12660,7390,6580,4150,2570,1630,1630,ANG MO KIO,22320,0.124860148,2011
3,Bedok,295380,13060,14430,17230,19600,20590,20410,21640,22710,22080,24210,24820,22340,19420,10470,8980,6310,4120,2980,2980,BEDOK,32860,0.11124653,2011
4,Bishan,90810,3750,4490,5390,6830,6730,5750,5970,6850,7030,7800,8220,7090,5680,2970,2640,1720,1080,830,830,BISHAN,9240,0.101750908,2011
5,Boon Lay,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOON LAY,0,0,2011
6,Bukit Batok,143380,6760,7990,9560,10150,10770,10870,10770,11480,12050,12740,12610,10520,7160,3440,2750,1890,1100,770,770,BUKIT BATOK,9950,0.069396011,2011
7,Bukit Merah,156370,7820,6760,6960,7340,7910,10110,13310,13480,11690,11890,11890,11540,11270,7040,7180,4760,3030,2410,2410,BUKIT MERAH,24420,0.156168063,2011
8,Bukit Panjang,129400,6840,7980,9180,9880,10270,9010,9530,10890,10260,11410,11100,8440,5900,3050,2360,1620,970,720,720,BUKIT PANJANG,8720,0.067387944,2011
9,Bukit Timah,70420,3100,4400,4660,5080,4750,3690,3920,5480,6170,6120,5720,4970,4340,2600,2210,1490,960,760,760,BUKIT TIMAH,8020,0.1138881,2011
10,Central Water Catchment,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL WATER CATCHMENT,0,0,2011
11,Changi,2420,190,210,190,140,120,120,210,280,250,190,140,90,90,50,40,40,20,40,40,CHANGI,190,0.078512397,2011
12,Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI BAY,0,0,2011
13,Choa Chu Kang,173760,8720,11000,14530,15840,12340,11580,12410,13860,15980,17380,13930,9930,6580,3210,2730,1830,1180,730,730,CHOA CHU KANG,9680,0.055709024,2011
14,Clementi,91650,4210,4370,4810,4710,5070,6270,7690,7800,7240,7550,6740,7000,7060,3710,3300,1980,1260,900,900,CLEMENTI,11150,0.121658483,2011
15,Downtown Core,3690,120,120,130,140,170,250,300,350,340,300,310,260,290,160,180,100,80,100,100,DOWNTOWN CORE,620,0.16802168,2011
16,Geylang,120120,5300,5540,6470,7420,7730,8410,9370,9630,8960,9820,10120,8950,7540,4340,4220,2970,1960,1380,1380,GEYLANG,14870,0.123792874,2011
17,Hougang,217220,8880,10790,13930,16360,16340,15090,14920,15990,16560,19580,19850,16420,12220,6650,5650,3810,2370,1800,1800,HOUGANG,20280,0.093361569,2011
