Var.1,Planning Area,Total,0 - 4,5-Sep,Oct-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,85_and_over,PLN_AREA_N,65_AND_OVER,ELDERLY_DENSITY,POP_DATE
3,Bedok,289750,11690,13400,14750,16930,19450,19860,19270,20850,22520,21460,23430,23380,20590,16750,9310,7330,4760,4010,4010,BEDOK,42160,0.145504745,2015
4,Bishan,90700,3430,4330,4710,5520,6860,6460,5720,6000,7070,6800,7540,7700,6360,4860,2730,2140,1370,1090,1090,BISHAN,12190,0.134399118,2015
5,Boon Lay,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOON LAY,0,0,2015
6,Bukit Batok,139270,5510,6890,7970,9240,10070,10460,9760,9940,10980,11310,12190,11770,9370,5990,3060,2230,1450,1090,1090,BUKIT BATOK,13820,0.099231708,2015
7,Bukit Merah,155840,7210,7480,6640,6860,7700,9340,11070,12840,12730,11320,11320,11740,10920,10030,6480,5590,3540,3010,3010,BUKIT MERAH,28650,0.183842402,2015
8,Bukit Panjang,139030,7330,7630,8460,9420,10400,10980,10690,10010,11180,10540,11620,10680,7880,5190,2740,2000,1290,1010,1010,BUKIT PANJANG,12230,0.087966626,2015
9,Bukit Timah,74470,3140,4660,4810,4820,4980,4310,3770,4940,6630,6330,5820,5330,4550,3930,2380,1880,1210,1000,1000,BUKIT TIMAH,10400,0.139653552,2015
10,Central Water Catchment,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL WATER CATCHMENT,0,0,2015
11,Changi,2530,180,230,220,150,130,100,170,240,290,220,140,120,90,90,50,30,30,40,40,CHANGI,240,0.09486166,2015
12,Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI BAY,0,0,2015
13,Choa Chu Kang,174330,7170,9340,11380,14820,15230,11940,11540,11960,13710,15990,16190,12910,8830,5650,2990,2220,1430,1040,1040,CHOA CHU KANG,13330,0.076464177,2015
14,Clementi,91630,3910,4420,4480,4690,4850,5820,6630,7310,7600,6950,6960,6550,6630,6200,3350,2600,1480,1200,1200,CLEMENTI,14830,0.161846557,2015
15,Downtown Core,3720,120,100,100,120,140,210,330,370,360,330,280,280,250,250,140,140,70,130,130,DOWNTOWN CORE,730,0.196236559,2015
16,Geylang,116960,4490,5350,5420,6320,7540,8130,8180,8720,9000,8790,9610,9620,8070,6460,3890,3290,2240,1850,1850,GEYLANG,17730,0.151590287,2015
17,Hougang,222310,8390,10010,11670,14390,16830,16650,15010,14840,16700,17010,19620,19270,15060,10830,5970,4670,3050,2340,2340,HOUGANG,26860,0.120822275,2015
18,Jurong East,84980,3290,3880,4550,4970,5760,6570,6360,6070,6530,6240,6720,7020,6420,4760,2360,1690,1040,760,760,JURONG EAST,10610,0.124852907,2015
19,Jurong West,272660,13600,15900,16700,18020,19070,19930,22540,23410,23070,21680,20670,19100,15870,10820,5250,3550,2080,1410,1410,JURONG WEST,23110,0.084757574,2015
20,Kallang,101210,4340,4440,4480,4750,5120,6120,7250,8260,8610,7770,7820,7840,7060,6100,3910,3400,2130,1810,1810,KALLANG,17350,0.171425748,2015
21,Lim Chu Kang,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIM CHU KANG,0,0,2015
22,Mandai,2120,90,120,150,170,150,140,150,170,190,180,170,140,90,80,50,40,20,10,10,MANDAI,200,0.094339623,2015
23,Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA EAST,0,0,2015
24,Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA SOUTH,0,0,2015
25,Marine Parade,48730,2180,2710,2690,2600,2690,2610,2880,3860,4580,3830,3680,3370,2890,2760,1780,1650,1030,940,940,MARINE PARADE,8160,0.167453314,2015
26,Museum,380,20,20,10,10,20,10,40,60,50,30,40,20,20,10,10,0,10,10,10,MUSEUM,40,0.105263158,2015
27,Newton,6920,300,470,330,330,340,340,400,580,740,660,610,470,430,360,180,160,120,110,110,NEWTON,930,0.134393064,2015
28,North-Eastern Islands,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTH-EASTERN ISLANDS,0,0,2015
29,Novena,47990,2260,2770,2510,2540,2570,2640,3030,3980,4510,3910,3710,3360,2860,2460,1590,1380,980,930,930,NOVENA,7340,0.152948531,2015
30,Orchard,920,40,60,40,30,30,50,60,70,90,80,70,80,70,70,30,20,10,20,20,ORCHARD,150,0.163043478,2015
31,Outram,22080,1290,1080,710,750,830,1160,1680,2140,1730,1470,1590,1650,1590,1470,930,850,550,610,610,OUTRAM,4410,0.199728261,2015
32,Pasir Ris,139890,5760,7100,9020,12330,13410,9100,7980,9090,10360,12960,14080,10480,7040,4470,2340,1900,1350,1140,1140,PASIR RIS,11200,0.080062907,2015
33,Paya Lebar,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PAYA LEBAR,0,0,2015
34,Pioneer,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIONEER,0,0,2015
35,Punggol,109750,12000,9200,6190,4450,3940,6750,15690,13400,10610,6500,5540,4730,3960,3020,1560,1040,660,510,510,PUNGGOL,6790,0.061867882,2015
36,Queenstown,98050,4450,4510,4360,4750,5290,6150,7110,7650,8050,7610,7500,6730,6150,5900,3950,3700,2420,1780,1780,QUEENSTOWN,17750,0.181030087,2015
37,River Valley,9190,420,520,520,410,470,500,640,870,1050,870,670,620,500,470,260,180,100,130,130,RIVER VALLEY,1140,0.124047878,2015
38,Rochor,14590,550,570,580,610,690,890,1050,1270,1260,1060,1110,1130,1050,900,620,510,340,400,400,ROCHOR,2770,0.189856066,2015
39,Seletar,270,10,20,20,20,10,10,0,20,40,30,40,20,10,10,0,10,0,0,0,SELETAR,20,0.074074074,2015
40,Sembawang,76530,4460,5400,5370,4820,4490,5120,6380,7200,7650,6110,5670,4890,3440,2210,1280,930,620,490,490,SEMBAWANG,5530,0.072259245,2015
41,Sengkang,206680,15340,15180,12630,11840,10870,14330,21130,21090,19230,14700,13630,12640,9270,6430,3350,2410,1450,1160,1160,SENGKANG,14800,0.071608283,2015
42,Serangoon,120670,4070,5080,6210,7730,9160,9040,7510,7460,8540,8770,10040,10780,9160,6850,3680,2980,1930,1660,1660,SERANGOON,17100,0.141708793,2015
43,Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIMPANG,0,0,2015
44,Singapore River,2720,200,170,120,90,80,90,280,360,410,270,190,140,100,90,50,40,10,30,30,SINGAPORE RIVER,220,0.080882353,2015
45,Southern Islands,1480,90,90,80,90,80,70,60,120,160,200,180,110,70,40,20,10,10,0,0,SOUTHERN ISLANDS,80,0.054054054,2015
46,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STRAITS VIEW,0,0,2015
47,Sungei Kadut,850,30,30,40,40,40,50,50,40,60,60,50,70,50,60,40,40,30,50,50,SUNGEI KADUT,220,0.258823529,2015
48,Tampines,261230,11210,12260,13820,18180,21380,20420,18820,18000,18310,19840,22810,22490,17360,11470,5500,4300,2830,2240,2240,TAMPINES,26340,0.100830686,2015
49,Tanglin,19000,930,1290,1110,1010,960,880,1140,1580,1990,1800,1530,1260,1140,940,540,380,250,270,270,TANGLIN,2380,0.125263158,2015
50,Tengah,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TENGAH,0,0,2015
51,Toa Payoh,124940,5040,5650,5740,6470,7330,7620,8440,9040,10140,9440,9730,9910,8290,7410,5040,4500,2810,2350,2350,TOA PAYOH,22110,0.176964943,2015
52,Tuas,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUAS,0,0,2015
53,Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN ISLANDS,0,0,2015
54,Western Water Catchment,900,40,50,50,40,130,80,40,90,100,60,60,60,40,10,10,10,10,30,30,WESTERN WATER CATCHMENT,70,0.077777778,2015
55,Woodlands,250290,11960,14430,17000,21030,20050,17920,18460,18680,21110,22230,21060,16810,11640,7630,4060,3090,1890,1250,1250,WOODLANDS,17920,0.071596948,2015
56,Yishun,201970,10230,9950,10440,12190,14650,17010,17040,15420,15110,14950,17360,15950,12310,8340,4430,3190,1940,1480,1480,YISHUN,19380,0.095954845,2015
1,Total,3933560,187160,201510,207500,239770,260850,279990,285540,302000,313450,301180,315600,299590,251850,198020,103800,87960,53560,44240,44240,TOTAL,487580,0.123953874,2016
2,Ang Mo Kio,170940,6450,7100,7850,8990,9990,11090,11180,12540,13100,12720,13730,13480,13000,11700,6620,5630,3260,2510,2510,ANG MO KIO,29720,0.173862174,2016
3,Bedok,287170,11270,13010,13890,16480,18810,20250,18270,20360,21960,21240,22880,23480,20940,18010,9490,7760,4920,4170,4170,BEDOK,44350,0.154438138,2016
4,Bishan,90090,3320,4130,4520,5340,6520,6870,5430,5760,6770,6740,7370,7680,6630,5270,2760,2340,1420,1220,1220,BISHAN,13010,0.144411144,2016
5,Boon Lay,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOON LAY,0,0,2016
6,Bukit Batok,138040,5140,6540,7560,8990,9760,10640,9320,9590,10610,11090,11920,11950,9940,6630,3180,2490,1500,1210,1210,BUKIT BATOK,15010,0.108736598,2016
7,Bukit Merah,154480,6970,7350,6490,6890,7460,9380,10350,12420,12520,11180,11360,11510,10990,10520,6240,6040,3620,3190,3190,BUKIT MERAH,29610,0.191675298,2016
8,Bukit Panjang,141380,7680,7650,8170,9350,10160,11520,11030,10150,11040,10420,11580,11100,8400,5790,2850,2150,1330,1050,1050,BUKIT PANJANG,13170,0.093153204,2016
9,Bukit Timah,75640,3220,4680,4730,4870,4860,4580,3810,4840,6540,6550,5850,5370,4750,4150,2470,2030,1270,1080,1080,BUKIT TIMAH,11000,0.145425701,2016
10,Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL WATER CATCHMENT,0,0,2016
11,Changi,2450,160,230,200,170,130,110,160,220,270,220,140,120,90,80,50,40,30,40,40,CHANGI,240,0.097959184,2016
12,Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI BAY,0,0,2016
13,Choa Chu Kang,179140,7640,9230,10860,14490,15890,13370,11770,12290,13450,15490,16890,13580,9680,6340,3070,2450,1510,1140,1140,CHOA CHU KANG,14510,0.080998102,2016
14,Clementi,91630,3930,4400,4320,4710,4780,5730,6370,7230,7550,6940,7060,6380,6610,6580,3380,2830,1580,1260,1260,CLEMENTI,15630,0.170577322,2016
15,Downtown Core,3710,140,80,100,100,130,220,340,350,380,330,290,280,250,260,140,140,70,130,130,DOWNTOWN CORE,740,0.199460916,2016
16,Geylang,115890,4540,5070,5050,6070,7210,8370,8010,8520,8950,8430,9290,9540,8420,6930,3790,3520,2280,1910,1910,GEYLANG,18430,0.159030115,2016
17,Hougang,222870,8560,9640,11020,13990,16270,17370,15090,14870,16320,16540,19250,19560,16000,11720,6160,4970,3090,2470,2470,HOUGANG,28410,0.127473415,2016
18,Jurong East,84660,3290,3770,4240,4940,5520,6610,6080,6100,6340,6200,6570,7000,6470,5230,2450,1920,1070,850,850,JURONG EAST,11520,0.136073707,2016
19,Jurong West,270350,13050,15250,16120,17690,18780,19950,20910,23040,22590,21320,20900,19040,16710,11940,5390,3980,2180,1510,1510,JURONG WEST,25000,0.092472721,2016
20,Kallang,100260,4200,4310,4310,4680,5030,6070,6820,8000,8450,7800,7710,7860,7170,6480,3740,3590,2140,1900,1900,KALLANG,17850,0.178037104,2016
21,Lim Chu Kang,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LIM CHU KANG,0,0,2016
22,Mandai,2150,90,120,140,180,150,150,140,160,190,190,160,150,100,90,60,40,30,20,20,MANDAI,240,0.111627907,2016
23,Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA EAST,0,0,2016
24,Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA SOUTH,0,0,2016
25,Marine Parade,48310,2150,2630,2630,2540,2600,2630,2760,3750,4410,3920,3600,3320,2950,2830,1810,1710,1120,980,980,MARINE PARADE,8450,0.174912026,2016
26,Museum,400,30,20,10,10,10,10,40,70,60,30,30,30,10,10,10,0,10,10,10,MUSEUM,40,0.1,2016
27,Newton,7140,350,480,380,320,350,330,390,570,740,710,600,480,420,400,200,160,110,130,130,NEWTON,1000,0.140056022,2016
28,North-Eastern Islands,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTH-EASTERN ISLANDS,0,0,2016
29,Novena,47640,2190,2760,2420,2480,2510,2760,2850,3810,4410,3940,3690,3330,2930,2570,1590,1460,1000,940,940,NOVENA,7560,0.158690176,2016
30,Orchard,890,40,50,30,40,30,50,50,70,80,90,60,80,70,60,40,20,10,20,20,ORCHARD,150,0.168539326,2016
31,Outram,21450,1170,1070,730,710,810,1140,1440,1950,1720,1420,1570,1580,1600,1520,930,910,560,630,630,OUTRAM,4550,0.212121212,2016
32,Pasir Ris,142920,5870,6970,8450,11820,13870,10230,8090,9230,10440,12290,14610,11280,7650,5100,2450,2030,1390,1160,1160,PASIR RIS,12130,0.084872656,2016
33,Paya Lebar,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PAYA LEBAR,0,0,2016
34,Pioneer,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIONEER,0,0,2016
35,Punggol,130380,14490,10870,7460,5590,4490,7840,18030,16250,12600,7960,6600,5430,4590,3750,1780,1330,740,590,590,PUNGGOL,8190,0.062816383,2016
36,Queenstown,99350,4800,4470,4280,4730,5090,6320,7460,7760,8070,7580,7550,6750,6250,6130,3780,3920,2530,1900,1900,QUEENSTOWN,18260,0.183794665,2016
37,River Valley,9340,440,500,510,420,450,510,610,890,1040,920,740,580,520,490,270,200,100,130,130,RIVER VALLEY,1190,0.127408994,2016
38,Rochor,14270,530,520,550,620,660,870,950,1200,1230,1060,1090,1100,1030,960,580,530,360,410,410,ROCHOR,2840,0.199018921,2016
39,Seletar,250,10,20,20,20,10,0,10,10,40,30,30,20,10,10,0,10,0,0,0,SELETAR,20,0.08,2016
40,Sembawang,77350,4390,5220,5350,5060,4560,5150,6030,7100,7620,6290,5850,5140,3680,2430,1300,1040,640,510,510,SEMBAWANG,5920,0.076535229,2016
41,Sengkang,219380,16650,15700,13270,12660,11370,14900,21950,22200,20230,15800,14370,13390,10250,7450,3590,2730,1580,1320,1320,SENGKANG,16670,0.075986872,2016
42,Serangoon,119990,4030,4950,5710,7520,8760,9400,7290,7380,8280,8610,9720,10700,9500,7400,3800,3180,2010,1770,1770,SERANGOON,18160,0.151345945,2016
43,Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIMPANG,0,0,2016
44,Singapore River,2840,230,180,140,100,100,100,230,410,390,300,190,140,100,100,60,40,10,30,30,SINGAPORE RIVER,240,0.084507042,2016
45,Southern Islands,1600,100,90,100,100,80,70,80,120,170,210,190,130,80,50,20,20,0,10,10,SOUTHERN ISLANDS,100,0.0625,2016
46,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STRAITS VIEW,0,0,2016
47,Sungei Kadut,860,30,40,30,50,40,50,50,40,50,70,60,60,50,70,40,50,40,50,50,SUNGEI KADUT,250,0.290697674,2016
48,Tampines,259110,11350,11750,12950,17070,20740,21110,18090,17990,17720,18870,22120,22670,18490,12620,5720,4570,2880,2390,2390,TAMPINES,28180,0.108756899,2016
49,Tanglin,19650,1030,1340,1090,1040,990,920,1140,1650,1960,1890,1590,1310,1150,1020,570,420,260,280,280,TANGLIN,2550,0.129770992,2016
50,Tengah,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TENGAH,0,0,2016
51,Toa Payoh,122780,4810,5440,5470,6240,7120,7700,7760,8710,9690,9320,9510,9850,8520,7700,4840,4830,2860,2430,2430,TOA PAYOH,22660,0.184557746,2016
52,Tuas,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUAS,0,0,2016
53,Western Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN ISLANDS,0,0,2016
54,Western Water Catchment,800,40,50,40,40,80,60,50,80,90,60,60,60,40,10,10,10,10,20,20,WESTERN WATER CATCHMENT,60,0.075,2016
55,Woodlands,249780,11840,13750,16010,20640,20430,18400,17640,18500,20020,21770,21530,17510,12680,8300,4090,3340,1980,1350,1350,WOODLANDS,19060,0.07630715,2016
56,Yishun,205840,10930,10070,10280,12040,14240,17180,17450,15810,15320,14640,17230,16550,13130,9300,4500,3560,2070,1550,1550,YISHUN,20980,0.101923824,2016
1,Total,3965800,187650,200580,206250,232970,259070,290200,279340,300960,311480,303460,312810,301680,262650,203970,119490,91950,54340,46940,46940,TOTAL,516690,0.130286449,2017
2,Ang Mo Kio,166820,5930,6710,7590,8450,9600,11150,10150,11850,12640,12390,13200,13220,12950,11640,7440,5890,3330,2670,2670,ANG MO KIO,30970,0.185649203,2017
3,Bedok,284930,10980,12510,13620,15870,18160,20560,17500,19580,21630,21310,22260,23160,21300,18210,10910,8050,4940,4400,4400,BEDOK,46510,0.163233075,2017
4,Bishan,90280,3250,4080,4560,5040,6260,7360,5130,5690,6650,6780,7240,7600,6910,5430,3140,2430,1460,1300,1300,BISHAN,13760,0.15241471,2017
5,Boon Lay,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BOON LAY,0,0,2017
6,Bukit Batok,138290,5090,6290,7300,8750,9680,10940,9220,9460,10360,10920,11730,11930,10360,7170,3690,2640,1480,1280,1280,BUKIT BATOK,16260,0.117579001,2017
7,Bukit Merah,152790,6720,7000,6520,6690,7250,9550,9790,11840,12400,11300,11090,11250,10990,10400,6920,6130,3680,3280,3280,BUKIT MERAH,30410,0.19903135,2017
8,Bukit Panjang,141930,7620,7540,7960,9140,9960,11650,10820,10220,10740,10580,11230,11270,9000,6100,3320,2320,1350,1130,1130,BUKIT PANJANG,14220,0.100190235,2017
9,Bukit Timah,76380,3220,4730,4760,4760,4820,4800,3810,4710,6310,6800,5940,5330,4860,4180,2770,2110,1310,1170,1170,BUKIT TIMAH,11540,0.151086672,2017
10,Central Water Catchment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL WATER CATCHMENT,0,0,2017
11,Changi,2220,150,190,180,140,110,100,150,210,240,170,130,120,100,90,40,50,20,30,30,CHANGI,230,0.103603604,2017
12,Changi Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHANGI BAY,0,0,2017
13,Choa Chu Kang,186580,8610,9270,10760,14010,16490,15340,12670,12640,13340,15300,17270,14350,10650,6880,3550,2620,1590,1240,1240,CHOA CHU KANG,15880,0.085110944,2017
14,Clementi,92580,3990,4440,4390,4630,4740,5810,6240,7150,7560,7110,7060,6360,6570,6470,4020,3000,1690,1360,1360,CLEMENTI,16540,0.178656297,2017
15,Downtown Core,2470,110,70,60,70,90,160,260,300,280,240,190,160,130,130,70,50,40,70,70,DOWNTOWN CORE,360,0.145748988,2017
16,Geylang,113460,4280,4730,5020,5650,6830,8520,7600,8060,8610,8360,8880,9330,8610,6930,4240,3560,2250,2010,2010,GEYLANG,18990,0.167371761,2017
17,Hougang,224390,8640,9360,10720,13370,15960,17940,15190,14780,16140,16410,18750,19580,17060,12410,7070,5290,3090,2640,2640,HOUGANG,30500,0.135924061,2017
18,Jurong East,83590,3190,3540,4080,4780,5320,6610,5780,5870,6170,6160,6330,6770,6660,5400,2890,2040,1070,930,930,JURONG EAST,12330,0.147505682,2017
19,Jurong West,267840,12260,14680,15740,17180,18620,20290,19240,22210,22170,21320,20780,19080,17070,12600,6510,4200,2250,1670,1670,JURONG WEST,27230,0.101665173,2017
20,Kallang,101610,4110,4340,4350,4580,4960,6390,6650,7790,8430,8050,7670,7870,7410,6730,4280,3770,2230,2000,2000,KALLANG,19010,0.187087885,2017
21,Lim Chu Kang,110,0,10,10,10,10,0,10,0,10,10,10,10,10,10,10,0,0,0,0,LIM CHU KANG,20,0.181818182,2017
22,Mandai,2130,90,110,150,160,160,150,130,150,180,180,170,150,110,80,60,40,20,20,20,MANDAI,220,0.103286385,2017
23,Marina East,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA EAST,0,0,2017
24,Marina South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MARINA SOUTH,0,0,2017
25,Marine Parade,47890,2130,2550,2530,2510,2570,2680,2550,3600,4240,4030,3550,3360,2980,2740,1970,1740,1140,1040,1040,MARINE PARADE,8630,0.180204636,2017
26,Museum,400,20,20,10,10,10,20,30,60,70,40,40,20,20,10,10,0,10,10,10,MUSEUM,40,0.1,2017
27,Newton,7270,350,510,390,300,360,380,350,580,740,730,620,490,410,410,230,170,110,140,140,NEWTON,1060,0.145804677,2017
28,North-Eastern Islands,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NORTH-EASTERN ISLANDS,0,0,2017
29,Novena,48590,2140,2810,2490,2410,2560,3010,2900,3720,4450,4060,3790,3390,3000,2580,1810,1500,1000,990,990,NOVENA,7880,0.162173287,2017
30,Orchard,960,40,60,40,50,30,50,60,70,80,90,90,80,70,60,40,20,10,20,20,ORCHARD,150,0.15625,2017
31,Outram,20840,1000,1040,730,650,760,1180,1250,1760,1740,1430,1500,1570,1570,1530,1020,920,550,670,670,OUTRAM,4690,0.225047985,2017
32,Pasir Ris,144960,5850,6970,8170,11180,13990,11220,8170,9260,10380,11700,14810,11980,8310,5410,2870,2120,1360,1220,1220,PASIR RIS,12980,0.089541943,2017
33,Paya Lebar,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PAYA LEBAR,0,0,2017
34,Pioneer,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PIONEER,0,0,2017
35,Punggol,146640,15970,12530,8750,6520,5170,8360,18700,18670,14420,9610,7450,5950,5110,4150,2280,1530,810,660,660,PUNGGOL,9430,0.064307147,2017
36,Queenstown,97600,4570,4380,4190,4510,4910,6210,6880,7640,7830,7430,7410,6700,6270,5950,4170,3980,2560,2020,2020,QUEENSTOWN,18680,0.191393443,2017
37,River Valley,9730,500,560,540,450,440,510,630,890,1070,1030,740,590,540,470,330,200,120,130,130,RIVER VALLEY,1250,0.128468654,2017
38,Rochor,13900,470,510,550,570,630,850,880,1140,1220,1040,1060,1100,1000,970,630,520,360,420,420,ROCHOR,2900,0.208633094,2017
39,Seletar,210,10,10,10,20,10,0,10,10,40,30,20,20,20,10,0,10,0,0,0,SELETAR,20,0.095238095,2017
40,Sembawang,79740,4310,5310,5420,5340,4680,5450,5840,7010,7650,6770,6050,5330,4110,2620,1530,1100,650,580,580,SEMBAWANG,6480,0.081264108,2017
41,Sengkang,232100,17660,16400,14090,13090,11920,15710,22540,23580,21310,16970,14870,13990,11340,8000,4440,3070,1650,1480,1480,SENGKANG,18640,0.080310211,2017
42,Serangoon,119140,3830,4770,5600,7090,8500,9720,7130,7150,8020,8570,9400,10360,9950,7530,4310,3320,2020,1860,1860,SERANGOON,19040,0.159811986,2017
43,Simpang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SIMPANG,0,0,2017
44,Singapore River,2900,230,200,140,100,90,110,200,390,400,350,190,150,120,90,60,40,20,30,30,SINGAPORE RIVER,240,0.082758621,2017
45,Southern Islands,1690,110,100,90,100,80,80,80,150,170,220,190,140,90,50,20,10,10,0,0,SOUTHERN ISLANDS,90,0.053254438,2017
46,Straits View,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,STRAITS VIEW,0,0,2017
47,Sungei Kadut,770,30,40,30,40,50,50,40,50,50,70,60,60,50,50,30,30,30,20,20,SUNGEI KADUT,160,0.207792208,2017
48,Tampines,258310,11230,11670,12400,16000,20300,21560,17750,17910,17450,18220,21360,22690,19530,13320,6740,4830,2910,2450,2450,TAMPINES,30250,0.117107352,2017
49,Tanglin,20370,1080,1440,1170,1060,970,980,1110,1660,2040,1980,1650,1360,1160,1040,650,470,260,290,290,TANGLIN,2710,0.133038783,2017
50,Tengah,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TENGAH,0,0,2017
51,Toa Payoh,121770,4610,5310,5440,5950,6990,7910,7270,8510,9500,9300,9360,9590,8800,7560,5310,4920,2870,2590,2590,TOA PAYOH,23250,0.190933728,2017
52,Tuas,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TUAS,0,0,2017
53,Western Islands,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN ISLANDS,0,0,2017
54,Western Water Catchment,710,40,40,30,40,50,40,60,70,80,60,50,60,50,10,10,10,10,20,20,WESTERN WATER CATCHMENT,60,0.084507042,2017
55,Woodlands,250170,11670,13320,15420,19830,21090,19040,17120,18160,19220,21540,21760,18180,13460,8710,4750,3490,1970,1460,1460,WOODLANDS,20380,0.081464604,2017
56,Yishun,210440,11560,10420,10260,11870,13880,17780,17450,16430,15470,14810,16840,16950,13960,9850,5350,3780,2120,1660,1660,YISHUN,22760,0.108154343,2017
