"","Planning Area","Total","0 - 4","5 - 9","10 - 14","15 - 19","20 - 24","25 - 29","30 - 34","35 - 39","40 - 44","45 - 49","50 - 54","55 - 59","60 - 64","65 - 69","70 - 74","75 - 79","80 - 84","85 & Over","85_and_over","PLN_AREA_N","65_AND_OVER","ELDERLY_DENSITY"
"197","Novena","42840","2190","2840","2590","2350","2610","3290","3330","3900","4020","3670","3080","2120","2000","1670","1360","830","550","450","450","NOVENA",4860,0.113445378151261
"203","Orchard","590","20","40","30","30","30","40","40","50","70","60","50","40","30","20","20","10","10","10","10","ORCHARD",70,0.11864406779661
"207","Outram","22200","800","960","850","990","1350","1790","1580","1620","1760","1680","1780","1370","1510","1320","1180","730","480","460","460","OUTRAM",4170,0.187837837837838
"212","Pasir Ris","116680","12940","14250","8460","5870","5180","7360","13910","16200","11350","7370","4660","2410","2120","1800","1310","800","420","290","290","PASIR RIS",4620,0.0395954748028797
"220","Paya Lebar","140","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","0","0","0","0","PAYA LEBAR",20,0.142857142857143
"225","Punggol","240","10","20","20","10","20","20","20","20","20","30","20","10","10","10","0","0","0","0","0","PUNGGOL",10,0.0416666666666667
"230","Queenstown","97860","5270","5630","4870","4850","6260","8900","8880","8630","7940","7180","7050","5250","5570","4620","3340","1810","1070","770","770","QUEENSTOWN",11610,0.118638871857756
"247","River Valley","9370","420","590","580","520","560","710","750","820","960","820","810","480","400","290","260","190","110","90","90","RIVER VALLEY",940,0.100320170757737
"253","Rochor","17940","760","900","850","860","1190","1440","1280","1320","1550","1390","1320","1120","1030","960","1000","540","250","210","210","ROCHOR",2960,0.164994425863991
"264","Seletar","440","30","30","20","20","30","30","50","50","60","30","30","30","20","10","10","10","0","0","0","SELETAR",30,0.0681818181818182
"266","Sembawang","31660","2920","1870","2350","2130","1740","3560","3640","3520","3150","2250","1450","830","750","630","420","260","130","90","90","SEMBAWANG",1530,0.0483259633607075
"276","Sengkang","61300","6060","3810","4670","3940","3410","5890","6760","6990","6490","4470","2940","1510","1340","1130","870","520","300","200","200","SENGKANG",3020,0.0492659053833605
"284","Serangoon","122420","7390","10010","9770","8420","7840","8920","8850","11180","12940","11020","8590","4820","4120","3140","2320","1510","890","700","700","SERANGOON",8560,0.0699232151609214
"289","Simpang","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SIMPANG",0,0
"297","Singapore River","830","50","50","30","30","40","90","90","110","70","60","60","50","30","20","20","10","10","10","10","SINGAPORE RIVER",70,0.0843373493975904
"301","Southern Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","SOUTHERN ISLANDS",0,0
"304","Straits View","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","STRAITS VIEW",0,0
"306","Sungei Kadut","920","20","40","60","50","80","80","60","40","60","50","70","50","60","40","50","40","40","50","50","SUNGEI KADUT",220,0.239130434782609
"312","Tampines","253110","20500","23840","21520","18030","14820","17370","23580","27310","26660","20380","13620","6910","5790","4790","3640","2290","1240","830","830","TAMPINES",12790,0.0505313895144404
"318","Tanglin","13720","670","940","860","780","820","960","1030","1260","1300","1290","1230","710","560","460","380","230","150","100","100","TANGLIN",1320,0.0962099125364431
"323","Tengah","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TENGAH",0,0
"325","Toa Payoh","121240","6090","7520","6830","6830","7820","10210","9620","10490","11270","9610","8750","6540","6390","4900","3700","2270","1370","1050","1050","TOA PAYOH",13290,0.109617288023755
"338","Tuas","40","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","TUAS",0,0
"345","Western Islands","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","WESTERN ISLANDS",0,0
"349","Western Water Catchment","410","30","30","40","20","20","20","30","70","50","30","40","20","10","0","0","0","0","0","0","WESTERN WATER CATCHMENT",0,0
"351","Woodlands","188670","21070","15600","14180","11840","10310","17710","23520","21180","16910","11810","8090","4660","3990","3210","2310","1240","640","440","440","WOODLANDS",7840,0.0415540361477712
"361","Yishun","177210","11810","16750","15350","12920","11850","14230","15550","19140","17810","13910","9690","5500","4330","3340","2280","1350","760","650","650","YISHUN",8380,0.0472885277354551
"371","Not Stated","5280","280","410","350","290","310","440","410","480","530","460","390","250","180","160","160","90","50","60","60","NOT STATED",520,0.0984848484848485
