No,Name,Latitude,Longitude,MRT_Code
158,Stevens MRT,1.3200527,103.8258215,STV
159,Napier MRT,1.306057,103.818483,NPR
160,Orchard Boulevard MRT,1.302292,103.823805,OBV
161,Orchard MRT,1.3045879,103.8319307,ORC
162,Great World MRT,1.293024,103.83289,GRW
163,Havelock MRT,1.288272,103.833387,HVL
164,Outram Park MRT,1.2802649,103.8403456,OTP
165,Maxwell MRT,1.276747,103.8451151,MAX
166,Shenton Way MRT,1.284465,103.851476,SHW
167,Marina Bay MRT,1.2764274,103.8545978,MRB
168,Marina South MRT,1.271537,103.8635552,MRS
169,Gardens by the Bay MRT,1.2813448,103.8589484,GRB
170,Tanjong Rhu MRT,1.297349,103.873345,TBA
171,Katong Park MRT,1.297703,103.886095,TBA
172,Amber MRT,1.298623,103.897586,TBA
173,Marine Parade MRT,1.30416,103.907853,TBA
174,Marine Terrace MRT,1.306434,103.914919,TBA
175,Siglap MRT,1.309937,103.9296,TBA
176,Bayshore MRT,1.312822,103.941536,TBA
177,Bedok South MRT,1.317082,103.949083,TBA
178,Sungei Bedok MRT,1.320394,103.957003,TBA
