OBJECTID_1,Join_Count,TARGET_FID,OBJECTID,PLN_AREA_N,PLN_AREA_C,CA_IND,REGION_N,REGION_C,INC_CRC,FMEL_UPD_D,X_ADDR,Y_ADDR,SHAPE_Leng,Year_,Town,Address,Latitude,Longitude,resale_psf,resale_mean,resale_median,Shape__Area,Shape__Length
11,109,10,11,NOVENA,NV,N,CENTRAL REGION,CR,916F55DE440B0D0E,5/11/2016 12:00:00 AM,28221.5058,34356.6386,14804.9003077,2017,KALLANG/WHAMPOA,35 JLN BAHAGIA,1.3268129,103.8576089,4464.285714,4832.78133048624,4593.406593,8968012.40420145,14804.9003094025
12,361,11,12,PASIR RIS,PR,N,EAST REGION,ER,69E0AC0FE45B2A77,5/11/2016 12:00:00 AM,40795.8397,40066.4108,22425.8060046,2017,PASIR RIS,641 PASIR RIS DR 1,1.37645,103.9395737,3846.153846,3937.34190736565,3849.206349,15809578.74158,22425.8062494891
13,607,12,13,HOUGANG,HG,N,NORTH-EAST REGION,NER,486168254785786B,5/11/2016 12:00:00 AM,34285.7643,38409.6987,18300.9761406,2017,HOUGANG,126 HOUGANG AVE 1,1.3523271,103.8855366,4134.328358,4131.60975092257,4079.207921,13933185.357547,18300.976021921
14,269,13,14,JURONG EAST,JE,N,WEST REGION,WR,D72351F1113079A2,5/11/2016 12:00:00 AM,17035.36,33633.6903,27340.8172924,2017,JURONG EAST,329 JURONG EAST AVE 1,1.3501711,103.7298896,4324.324324,4350.9407192342,4253.731343,17858611.991703,27340.815389244
15,0,14,15,LIM CHU KANG,LK,N,NORTH REGION,NR,E4489A08FC8CCAF7,5/11/2016 12:00:00 AM,15309.8168,45819.0414,18733.8362509,,,,,,,,,17494885.0344048,18733.8316202244
16,0,15,16,MANDAI,MD,N,NORTH REGION,NR,1AEBC042AF3913C4,5/11/2016 12:00:00 AM,24566.11,45042.5004,17658.8170649,,,,,,,,,11766080.5634451,17658.817103124
17,25,16,17,MARINE PARADE,MP,N,CENTRAL REGION,CR,6351E8FE95B3D9E9,5/11/2016 12:00:00 AM,35005.8631,31398.3307,13952.6321604,2017,MARINE PARADE,32 MARINE CRES,1.3031148,103.9117708,5769.230769,6097.03456232,6153.846154,6134751.33438504,13952.6320304637
18,0,17,18,NORTH-EASTERN ISLANDS,NE,N,NORTH-EAST REGION,NER,92BC3E09ACAE5FEA,5/11/2016 12:00:00 AM,50424.7923,42612.8784,62436.23535,,,,,,,,,67250562.9129608,62436.2362569556
19,0,18,19,PIONEER,PN,N,WEST REGION,WR,3AF012CC0BE1DF82,5/11/2016 12:00:00 AM,10156.666,32765.2907,20540.6843609,,,,,,,,,12217910.5398541,20540.6866116945
20,1005,19,20,JURONG WEST,JW,N,WEST REGION,WR,28E2463E2A0FC995,5/11/2016 12:00:00 AM,13708.686,35974.5292,19330.2987681,2017,JURONG WEST,186 BOON LAY AVE,1.3457356,103.7112919,3898.305085,3866.27572852836,3863.636364,14680540.0412702,19330.2987028083
21,0,20,21,PAYA LEBAR,PL,N,EAST REGION,ER,BD0F96ABEF38B9F6,5/11/2016 12:00:00 AM,37065.5554,37940.8911,15196.8187947,,,,,,,,,11685832.2432823,15196.8185347034
22,833,21,22,PUNGGOL,PG,N,NORTH-EAST REGION,NER,ACABACFD09B4EBEE,5/11/2016 12:00:00 AM,36538.4181,43023.5561,13833.9346422,2017,PUNGGOL,601D PUNGGOL CTRL,1.402984,103.907767,5560,4572.29306826411,4569.892473,9377351.00323641,13833.9343115463
23,155,22,23,QUEENSTOWN,QT,N,CENTRAL REGION,CR,3CB2E20AC22FDB3D,5/11/2016 12:00:00 AM,22573.4605,30164.6999,34082.5080217,2017,QUEENSTOWN,28B DOVER CRES,1.3053608,103.7819406,7608.695652,6785.72560022581,6875,21672762.5970848,34082.5082720099
24,0,23,24,SELETAR,SL,N,NORTH-EAST REGION,NER,9D39537C03217C6F,5/11/2016 12:00:00 AM,32872.3908,44016.2208,15103.7041156,,,,,,,,,10847705.1761389,15103.7012243954
25,282,24,25,SEMBAWANG,SB,N,NORTH REGION,NR,E09108C7592EF5E8,5/11/2016 12:00:00 AM,26387.3981,48594.6356,21493.5323658,2017,SEMBAWANG,467 ADMIRALTY DR,1.452342,103.8144941,3235.294118,3698.18797352482,3681.5684315,12636355.8032255,21493.5329567977
