"Singapore Residents by Planning Area/Subzone, Age Group and Sex, June 2011",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Planning Area,Subzone,Total,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 & Over,,,
,,Total (Number),,,,,,,,,,,,,,,,,,,,,
,Tukang,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
Bukit Batok,Total,"143,380","6,760","7,990","9,560","10,150","10,770","10,870","10,770","11,480","12,050","12,740","12,610","10,520","7,160","3,440","2,750","1,890","1,100",770,,,
,Brickworks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Bukit Batok Central,"26,440","1,330","1,480","1,620","1,670","1,990","2,130","1,990","2,220","2,200","2,160","2,250","1,990","1,360",700,570,390,220,180,,,
,Bukit Batok East,"15,540",630,790,920,960,1220,"1,300","1,240","1,230","1,240","1,280","1,450","1,260",890,390,330,230,110,80,,,
,Bukit Batok South,"14,480",620,850,1190,"1,290","1,200","1,050",960,1040,1260,"1,420","1,350",990,570,230,200,130,90,50,,,
,Bukit Batok West,"16,010",740,950,1060,1030,"1,120","1,260","1,260","1,260","1,340","1,330","1,420","1,200",850,400,300,230,160,90,,,
,Gombak,"8,980",620,440,440,500,490,780,1080,800,600,610,620,610,510,310,230,180,100,80,,,
,Guilin,"13,880",670,770,940,940,1000,980,1070,"1,210","1,280","1,290","1,130",950,670,350,270,160,110,90,,,
,Hillview,"18,070",760,1070,"1,550","1,630","1,310",910,920,"1,310","1,750","2,040","1,640","1,250",860,390,290,190,110,90,,,
,Hong Kah North,"29,970","1,400","1,650","1,850","2,130","2,450","2,470","2,250","2,390","2,390","2,600","2,750","2,260","1,450",680,570,370,210,120,,,
Bukit Merah,Total,"156,370","7,820","6,760","6,960","7,340","7,910","10,110","13,310","13,480","11,690","11,890","11,890","11,540","11,270","7,040","7,180","4,760","3,030","2,410",,,
,Alexandra Hill,"16,320",760,740,830,890,1020,"1,080",1110,1210,"1,150","1,290","1,250","1,300","1,210",710,680,510,310,280,,,
,Alexandra North,840,40,50,70,40,40,60,90,90,110,90,50,40,40,20,20,10,-,10,,,
,Bukit Ho Swee,"16,790",660,600,760,840,990,"1,120","1,150","1,140","1,170","1,360","1,520","1,360","1,230",810,840,580,370,290,,,
,Bukit Merah,"1,280",50,60,80,80,80,90,80,100,120,100,90,90,100,60,50,20,20,20,,,
,City Terminals,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Depot Road,"4,220",310,180,170,190,170,260,500,470,300,290,260,270,320,160,160,100,70,50,,,
,Everton Park,"8,800",400,350,350,330,400,610,780,900,700,590,600,710,700,410,410,250,190,140,,,
,Henderson Hill,"15,580",650,630,750,780,810,990,1060,1180,1180,1230,1240,"1,150",1180,790,810,560,340,260,,,
,Kampong Tiong Bahru,"11,550",440,460,490,550,570,790,830,900,830,910,930,960,920,580,630,370,210,180,,,
,Maritime Square,"1,830",110,90,90,80,80,110,170,240,210,190,150,90,90,50,40,10,10,20,,,
,Redhill,"12,080",950,550,520,560,510,720,1450,"1,150",900,910,820,710,630,430,470,330,240,230,,,
,Singapore General Hospital,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
,Telok Blangah Drive,"15,940",700,730,730,740,900,970,"1,290","1,400","1,230","1,220","1,200","1,150","1,230",750,760,490,280,190,,,
,Telok Blangah Rise,"14,680",510,600,680,770,830,960,1130,"1,220","1,070",1040,1130,"1,290","1,270",760,640,400,220,170,,,
,Telok Blangah Way,"11,090",540,480,450,490,490,630,900,930,770,900,950,880,810,550,530,390,240,180,,,
,Tiong Bahru,"8,450",550,320,270,250,310,550,"1,050",890,600,560,540,580,600,380,380,260,210,180,,,
,Tiong Bahru Station,"16,890",1160,930,720,760,720,1190,"1,720","1,660","1,370","1,230","1,150",970,950,590,750,490,310,230,,,
Bukit Panjang,Total,"129,400","6,840","7,980","9,180","9,880","10,270","9,010","9,530","10,890","10,260","11,410","11,100","8,440","5,900","3,050","2,360","1,620",970,720,,,
